comparable,component_id,image_id,primary_disposition,primary_kind,primary_structure_reason,repeat_disposition,repeat_kind,repeat_structure_reason
False,1,NLB_483340393EDR_F0470522NCAM00253M1,,structured,multi_annotation_or_multi_component,,structured,multi_annotation_or_multi_component
True,2,NLB_483340393EDR_F0470522NCAM00253M1,accepted,direct,,accepted,direct,
True,3,NLB_483340393EDR_F0470522NCAM00253M1,rejected_noise,direct,,rejected_noise,direct,
True,4,NLB_483340393EDR_F0470522NCAM00253M1,rejected_noise,direct,,rejected_noise,direct,
True,5,NLB_483340393EDR_F0470522NCAM00253M1,rejected_noise,direct,,rejected_noise,direct,
True,6,NLB_483340393EDR_F0470522NCAM00253M1,rejected_noise,direct,,rejected_noise,direct,
False,1,NLB_517255503EDR_F0541610NCAM07753M1,,structured,multi_annotation_or_multi_component,,structured,multi_annotation_or_multi_component
False,2,NLB_517255503EDR_F0541610NCAM07753M1,,structured,multi_annotation_or_multi_component,,structured,multi_annotation_or_multi_component
True,3,NLB_517255503EDR_F0541610NCAM07753M1,accepted,direct,,accepted,direct,
True,4,NLB_517255503EDR_F0541610NCAM07753M1,accepted,direct,,accepted,direct,
True,5,NLB_517255503EDR_F0541610NCAM07753M1,accepted,direct,,rejected_noise,direct,
True,6,NLB_517255503EDR_F0541610NCAM07753M1,rejected_noise,direct,,rejected_noise,direct,
True,7,NLB_517255503EDR_F0541610NCAM07753M1,rejected_noise,direct,,rejected_noise,direct,
True,8,NLB_517255503EDR_F0541610NCAM07753M1,rejected_noise,direct,,rejected_noise,direct,
False,9,NLB_517255503EDR_F0541610NCAM07753M1,accepted,direct,,,structured,multi_annotation_or_multi_component
True,10,NLB_517255503EDR_F0541610NCAM07753M1,rejected_noise,direct,,rejected_noise,direct,
False,11,NLB_517255503EDR_F0541610NCAM07753M1,rejected_noise,direct,,,structured,multi_annotation_or_multi_component
True,12,NLB_517255503EDR_F0541610NCAM07753M1,rejected_noise,direct,,rejected_noise,direct,
True,13,NLB_517255503EDR_F0541610NCAM07753M1,rejected_noise,direct,,rejected_noise,direct,
True,1,NLB_557555419EDR_F0652882NCAM00296M1,rejected_noise,direct,,rejected_noise,direct,
False,1,NLB_483955685EDR_F0470598NCAM00320M1,,structured,multi_annotation_or_multi_component,rejected_bedrock,direct,
True,2,NLB_483955685EDR_F0470598NCAM00320M1,accepted,direct,,accepted,direct,
True,3,NLB_483955685EDR_F0470598NCAM00320M1,rejected_bedrock,direct,,accepted,direct,
True,4,NLB_483955685EDR_F0470598NCAM00320M1,rejected_noise,direct,,rejected_noise,direct,
True,5,NLB_483955685EDR_F0470598NCAM00320M1,rejected_noise,direct,,rejected_noise,direct,
True,6,NLB_483955685EDR_F0470598NCAM00320M1,rejected_noise,direct,,rejected_noise,direct,
True,7,NLB_483955685EDR_F0470598NCAM00320M1,rejected_noise,direct,,rejected_noise,direct,
True,8,NLB_483955685EDR_F0470598NCAM00320M1,accepted,direct,,accepted,direct,
